No,Start,Destination,Route
PP21,Broadway,Guduvanchery,"Secretariat, Chepauk, Q.M.C, Fore Shore Estate, Adyar Bus Stand, Guindy, Pallavaram, Chromepet, Tambaram, Vandalur Zoo"
33,Broadway,M.K.B Nagar,"Vyasarpadi, Basin Bridge, Mint, Mannadi"
M33xt,Broadway,Kaviarasu Kannadasan Nagar,"M.K.B Nagar, Vyasarpadi, Basin Bridge, Mint, Mannadi"
M33A,Broadway,Moolakadai,"Central R.S, Periamet, Natarajatheatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur"
42,Broadway,Periyar Nagar,"Central R.S, Periamet, Nataraja theatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur"
42A,Broadway,G.K.M colony,
M42B,Broadway,Poombuhar,"Central R.S, Periamet, Choolaipostoffice, Doveton, Bhuvaneswari, Pattalam, Otteri, Perambur, Venus, Peravallur, Nehrusilai"
M42C,Broadway,Teacherscolony,"Central, Periamet, Natarajatheatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur, Kolathur, Vinayagapuram"
M42D,Broadway,Srinivasanagar,
44,Broadway,Manali,V.Nagar
44A,Broadway,I.O.C,Tondiarpet
44C,Broadway,I.O.C,Korukkupet
44D,Broadway,I.O.C,Sathiyamoorthy Nagar
44L,Broadway,Parvathi Nagar (Kodungaiyur),
50,Broadway,Thiruverkadu,"Central, Dasaprakash, KMC, Amijikarai, Arumbakkam, Koyambedu, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi"
51J,Broadway,Ponmar,"Central, LIC, DMS, SIET, Saidapet, CheckpostVelachery, Medavakkam, Sithalapakkam koot road, Kovilancherry, Madurapakkam"
51R,Broadway,Madipakkam BS,"Puzhudivakkam, Guindy Race Course"
53,Broadway,Poonamallee,Central R.S
53E,Broadway,Mangadu,"Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S"
54K,Broadway,Nemam,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S"
56,Broadway,Kargil Nagar,"V.Nagar, Tondiarpet, Thiruvottriyur, Sathyamoorthy nagar"
56 xt,Broadway,Ennore,"V.Nagar, Tondiarpet, Thiruvottriyur, Ernavoor, Ashok Leyland"
56D,Broadway,Manali,"Beach R.S, Thambuchetty St., Kalmandappam, Kasimedu, Tondirapet, Tollgate, Rajakadai, Thiruvotriyur R.S, Mattumandai"
56N,Broadway,Ennore,
56P,Broadway,Minjur New Bus Stand,"V. Nagar, TONDAIAYRPET, THIRUVETRIYUR B.S, SATHIYAMOORTHY NAGAR, NAPALAYAM, Minjur B.D.O"
58A,Broadway,Red Hills,"V.Nagar, Vyasarpadi, Moolakadai, Mathur"
58H,Broadway,New Erumai Vettipalayam,"Karanodai, RedHills, V.Nagar, Vyasarpadi, Moolakadai"
58G,Broadway,Gnayaru,"V.Nagar, Vyasarpadi, Moolakadai"
60D,Broadway,"Kamarajpuram, Anakaputhur","Pallavaram, Guindy"
60E,Broadway,Kundrathur,"Andankuppam, Anakaputtur, Pallavaram, Guindy, Anna University, Adyar, Sathyastudio, MRC Nagar, Pattinapakkam, AIR, Kannagi Statue, Annasquare"
60G,Broadway,Pozhichalur,Annasquare
60H,Broadway,"Shankar Nagar, Pammal","Pammal, Pallavaram, Guindy"
61D,Broadway,Kadavoor,"Central R.S, Purasaiwakkam, Ayanavaram, Nadhamuni, Padi, Amabattur IE, Avadi, HVF Hospital, Kovilpadagai, Veerapuram"
61D xt,Broadway,Kilkondaiyar,"Avadi, Kadavoor"
61E,Broadway,Kilkondaiyar,"Ambattur IE, Avadi, HVF Hospital, Kovilpadagai, Vellanur, Veerapuram, Arakkambakkam"
